,Cluster,Biomarker,Relations
4546,40,tau protein,"[{'article': 'PMC10287562.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10287562.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4150993.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Alzheimer's Disease""}, {'article': 'PMC4255369.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4255369.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Treatment: Target for tau immunotherapy'}, {'article': 'PMC4255369.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis: Alzheimer's Disease""}, {'article': 'PMC4255369.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence: Neurofibrillary tangles and tau oligomers'}, {'article': 'PMC4255369.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Disease progression and severity'}, {'article': 'PMC4255369.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Outcome: Increased tau oligomers and tangles'}, {'article': 'PMC4255369.txt', 'relationship': 'RELATED_TREATMENT', 'object': 'Treatment: DC8E8 immunotherapy'}, {'article': 'PMC4255369.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Treatment selection: Targeting tau protein forms'}, {'article': 'PMC4255369.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Target: Tau protein forms for immunotherapy'}, {'article': 'PMC4255369.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': 'Response: Reduction in insoluble tau oligomers'}, {'article': 'PMC4255369.txt', 'relationship': 'BIOMARKER_DYNAMICS_UNDER_TREATMENT', 'object': 'Dynamics: Decreased levels of insoluble tau oligomers'}, {'article': 'PMC4255369.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4255369.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4485995.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4485995.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4485995.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Autophagic dysfunction in Alzheimer's Disease""}, {'article': 'PMC4707222.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4810525.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4810525.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""reduced hyperphosphorylation in Alzheimer's Disease treatment""}, {'article': 'PMC4936020.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8690894.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Cognitive decline in Alzheimer's Disease""}, {'article': 'PMC8690894.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4970664.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5372260.txt', 'relationship': 'REDUCES', 'object': 'tau protein or its abnormal phosphorylation'}, {'article': 'PMC5372260.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6110931.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC6201586.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'AADvac1 immunotherapy'}, {'article': 'PMC6201586.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Treatment: AADvac1 active vaccine'}, {'article': 'PMC6679484.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Neurofibrillary tangles correlate with cognitive impairment and disease severity in Alzheimer's Disease""}, {'article': 'PMC6679484.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Hyperphosphorylated and abnormally folded tau protein contributes to neuronal death and cognitive decline in Alzheimer's Disease""}, {'article': 'PMC6679855.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Development of Alzheimer's Disease""}, {'article': 'PMC6679855.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Neurodegeneration in Alzheimer's Disease""}, {'article': 'PMC7067577.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9755275.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC9755275.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': 'Treatment: Anti-tau drugs'}, {'article': 'PMC9962062.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}]"
4420,40,phospho-tau concentrations,"[{'article': 'PMC4866415.txt', 'relationship': 'DIAGNOSTIC_OF', 'object': ""Alzheimer's Disease""}]"
4575,40,total-tau (t-tau),"[{'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2420,40,Mid-p-tau231,"[{'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-stage Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Higher accuracy in discriminating Aβ-positive from Aβ-negative individuals'}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-onset Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment Selection: Alzheimer's Disease""}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3583,40,Total Tau,"[{'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Alzheimer’s Disease'}, {'article': 'PMC4294473.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4366075.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4868930.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early-onset Alzheimer's Disease""}, {'article': 'PMC9202553.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9295361.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4574,40,total-tau,"[{'article': 'PMC8439008.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4550,40,tau-441,"[{'article': 'PMC6357742.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
2570,40,Neurofibrillary tangles (tau protein),"[{'article': 'PMC6530014.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6530014.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of Alzheimer's Disease""}]"
4373,40,p-tau217WashU,"[{'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Abnormal Aβ status in Alzheimer's Disease""}, {'article': 'PMC10115176.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Progression to Alzheimer's Disease Dementia""}, {'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10115176.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': ""Alzheimer's Disease""}]"
4372,40,p-tau217Lilly,"[{'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
1257,40,DA9-positive Tau,"[{'article': 'PMC4294473.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
251,40,AT8 (Ser(P)202/Thr(P)205)-positive Tau,"[{'article': 'PMC4294473.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease progression""}]"
252,40,AT8-positive Tau,"[{'article': 'PMC4294473.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4371,40,p-tau217Janss,"[{'article': 'PMC10115176.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Progression to Alzheimer's Disease Dementia""}, {'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4370,40,p-tau217,"[{'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10115176.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Indicates presence of: Abnormal brain amyloid-β status'}, {'article': 'PMC10115176.txt', 'relationship': 'PREDICTS', 'object': 'Future conversion to Alzheimer’s disease dementia (ADD)'}, {'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC10115176.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10710152.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'DIAGNOSTIC', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'PREDICTS_COGNITIVE_DECLINE', 'object': 'Preclinical cases of AD'}, {'article': 'PMC8416781.txt', 'relationship': 'DIFFERENTIATE', 'object': 'AD from controls and other tauopathies and neurodegenerative disorders'}, {'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Aβ pathology'}, {'article': 'PMC8966264.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Progression to Alzheimer's Disease dementia""}, {'article': 'PMC8966264.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Prognosis: Greater risk of progression to AD dementia in mild cognitive impairment patients'}, {'article': 'PMC8966264.txt', 'relationship': 'PREDICTS_CONVERSION_TO', 'object': ""Alzheimer's Disease dementia""}, {'article': 'PMC8966264.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8966264.txt', 'relationship': 'PREDICTS_CONVERSION_TO_AD', 'object': 'Conversion to AD dementia'}, {'article': 'PMC8966264.txt', 'relationship': 'ASSOCIATED_WITH_AD_PROGRESSION', 'object': 'Progression to AD dementia'}, {'article': 'PMC8966264.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Predictive marker for clinical progression to Alzheimer's Disease dementia""}, {'article': 'PMC8966264.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Conversion to AD dementia'}, {'article': 'PMC8966264.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Presence of: AD progression'}, {'article': 'PMC8966264.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Risk of conversion to AD dementia within 3 years'}, {'article': 'PMC8966264.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Predict future decline in AD'}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4349,40,p-Tau levels,"[{'article': 'PMC8733254.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4369,40,p-tau181p,"[{'article': 'PMC6106931.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
2843,40,Phosphorylated tau (p-tau),"[{'article': 'PMC4866415.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4918115.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8053280.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC7477392.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4532,40,tTau levels,"[{'article': 'PMC7890889.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2844,40,Phosphorylated tau (p-tau181),"[{'article': 'PMC5576287.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
2972,40,P‐tau,"[{'article': 'PMC5067556.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC5067556.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Worsening of motor symptoms as measured by UPDRS III'}, {'article': 'PMC5067556.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Worsening of cognitive executive function as measured by letter fluency'}]"
2845,40,Phosphorylated tau (p-tau181p),"[{'article': 'PMC6106931.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4368,40,p-tau181WashU,"[{'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4367,40,p-tau181P,"[{'article': 'PMC6106931.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}]"
2830,40,Phospho-Tau,"[{'article': 'PMC6174237.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
3522,40,Tau protein tangles,"[{'article': 'PMC8868383.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4374,40,p-tau231,"[{'article': 'PMC10115176.txt', 'relationship': 'PREDICTS', 'object': 'Future progression from mild cognitive impairment to ADD'}, {'article': 'PMC10115176.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}, {'article': 'PMC10710152.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease pathology""}, {'article': 'PMC8043944.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease neuropathology""}, {'article': 'PMC8043944.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': 'Longitudinal cognitive decline and hippocampal volume changes'}, {'article': 'PMC8043944.txt', 'relationship': 'PREDICTS_MORTALITY', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC8043944.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnosis of Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease diagnosis""}, {'article': 'PMC8043944.txt', 'relationship': 'PREDICTS_SURVIVAL', 'object': ""Alzheimer's Disease progression""}, {'article': 'PMC8043944.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}, {'article': 'PMC8043944.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Alzheimer's Disease treatment monitoring""}, {'article': 'PMC8043944.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cognitive decline and neurodegeneration'}, {'article': 'PMC8043944.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': '1-year decrease in hippocampal volume and worsening MMSE scores'}, {'article': 'PMC8043944.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Treatment selection for Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'IS_TARGET_OF_TREATMENT', 'object': ""Therapy for Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Early tau deposition and disease progression'}, {'article': 'PMC8043944.txt', 'relationship': 'MONITORED_DURING_TREATMENT', 'object': ""Response to treatment in Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Early tau deposition in Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Early stages of Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': ""Therapeutic trials targeting early Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Individuals at higher risk of Alzheimer's Disease progression""}, {'article': 'PMC8043944.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}, {'article': 'PMC8043944.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Early Aβ deposition'}, {'article': 'PMC8043944.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': 'Neurofibrillary tangles deposition in the entorhinal cortex'}, {'article': 'PMC8416781.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8416781.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Early Aβ pathology before amyloid PET positivity'}, {'article': 'PMC7721364.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4394,40,pTau Ser396,"[{'article': 'PMC4694064.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease""}]"
4203,40,hyperphosphorylated tau protein,"[{'article': 'PMC4707222.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
3523,40,Tau proteins,"[{'article': 'PMC10363100.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}, {'article': 'PMC8287201.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
4392,40,pT181 tau protein,"[{'article': 'PMC6201586.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4202,40,hyperphosphorylated tau,"[{'article': 'PMC10787596.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC10787596.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC3978916.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC4877513.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC8581408.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}, {'article': 'PMC9972756.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
4375,40,p-tau231UGOT,"[{'article': 'PMC10115176.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
3524,40,Tau-P301L,"[{'article': 'PMC5516350.txt', 'relationship': 'ASSOCIATED_WITH_POOR_OUTCOME', 'object': ""Alzheimer's Disease progression""}]"
2462,41,Montreal Cognitive Assessment (MoCA),"[{'article': 'PMC10475546.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Cognitive impairment related to Alzheimer's Disease""}, {'article': 'PMC4562190.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Mild Cognitive Impairment'}, {'article': 'PMC8518196.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}, {'article': 'PMC6142366.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early-stage Alzheimer's Disease""}]"
2139,41,Jmild cognitive impairment S score,"[{'article': 'PMC7592675.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Cognitive improvement in Alzheimer's Disease""}]"
1156,41,Cognitive Level (MMSE),"[{'article': 'PMC4922661.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1159,41,Cognitive composite score,"[{'article': 'PMC8201462.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Diagnose: Alzheimer's Disease and Related Dementia (ADRD)""}]"
4071,41,cognitive measures,"[{'article': 'PMC4876902.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease""}]"
4067,41,cognitive assessments,"[{'article': 'PMC7808620.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Cognitive decline in Alzheimer's Disease""}]"
1161,41,Cognitive disorders examination test,"[{'article': 'PMC3681660.txt', 'relationship': 'GUIDES_TREATMENT_SELECTION', 'object': 'Guide subjects with memory impairment to full memory consultations at hospitals'}]"
1162,41,Cognitive disorders examination test (CODEX),"[{'article': 'PMC3681660.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease""}]"
4168,41,global cognitive status,"[{'article': 'PMC3110111.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease""}]"
1164,41,Cognitive function (ADAS-cog),"[{'article': 'PMC4324943.txt', 'relationship': 'ASSOCIATED_WITH_BETTER_OUTCOME', 'object': 'Improved cognitive function in individuals with mild to moderate dementia'}]"
4072,41,cognitive performance,"[{'article': 'PMC4876902.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Prognosis: Alzheimer's Disease""}]"
1167,41,Cognitive performance,"[{'article': 'PMC9246122.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Cognitive decline in Alzheimer's Disease""}]"
1170,41,Cognitive score,"[{'article': 'PMC10363100.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Alzheimer's Disease""}]"
1190,41,Composite z-scores for cognitive function,"[{'article': 'PMC4153084.txt', 'relationship': 'LEVELS_REFLECT_RESPONSE', 'object': ""Cognitive response to treatment in Alzheimer's Disease""}, {'article': 'PMC4153084.txt', 'relationship': 'RELATED_PROGNOSIS', 'object': ""Alzheimer's Disease prognosis""}]"
1171,41,Cognitive scores (ADAS-Cog11),"[{'article': 'PMC6685277.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': 'Cognitive decline'}]"
1172,41,Cognitive scores (MMSE),"[{'article': 'PMC10363100.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Early Alzheimer's Disease""}, {'article': 'PMC10363100.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence of: Alzheimer's Disease""}]"
4323,41,neurocognitive measures,"[{'article': 'PMC4876902.txt', 'relationship': 'INDICATES_PRESENCE_OF', 'object': ""Presence: Alzheimer's Disease progression""}]"
1765,41,Global cognitive score,"[{'article': 'PMC8966264.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': 'Diagnose: Conversion to AD dementia'}]"
1174,41,Cognitive test scores,"[{'article': 'PMC4132648.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Diagnose: Alzheimer's Disease based on cognitive decline""}, {'article': 'PMC6521224.txt', 'relationship': 'USED_TO_DIAGNOSE', 'object': ""Alzheimer's Disease""}]"
